year,gpu_name_clean,retail_price,used_price,wattage,vram,3dmark
2024,geforce rtx 3060,279.0,198.0,170.0,12.0,8739
2024,geforce rtx 3060,276.0,202.0,170.0,12.0,8739
2024,geforce rtx 2080 ti,1295.0,222.0,250.0,11.0,14628
2024,geforce rtx 3050,217.0,180.0,130.0,8.0,6205
2024,geforce rtx 3050,220.0,179.0,130.0,8.0,6205
2024,geforce rtx 3050,240.0,173.0,130.0,8.0,6205
2024,geforce rtx 3050,210.0,172.0,130.0,8.0,6205
2024,geforce rtx 3050,203.0,158.0,130.0,8.0,6205
2024,geforce rtx 3050,203.0,152.0,130.0,8.0,6205
2024,geforce rtx 3050,188.0,153.0,130.0,8.0,6205
2024,geforce rtx 3050,198.0,146.0,130.0,8.0,6205
2024,geforce rtx 3050,211.0,149.0,130.0,8.0,6205
2024,geforce rtx 3050,210.0,145.0,130.0,8.0,6205
2024,geforce rtx 3050,218.0,144.0,130.0,8.0,6205
2024,geforce rtx 3050,212.0,150.0,130.0,8.0,6205
2024,geforce rtx 3060,284.0,226.0,170.0,12.0,8739
2024,geforce rtx 3060,288.0,231.0,170.0,12.0,8739
2024,geforce rtx 3060,293.0,234.0,170.0,12.0,8739
2024,geforce rtx 3060,288.0,225.0,170.0,12.0,8739
2024,geforce rtx 3060,289.0,215.0,170.0,12.0,8739
2024,geforce rtx 3060,282.0,212.0,170.0,12.0,8739
2024,geforce rtx 3060,280.0,207.0,170.0,12.0,8739
2024,geforce rtx 3070,426.0,246.0,220.0,8.0,13663
2024,geforce rtx 3070,424.0,243.0,220.0,8.0,13663
2024,geforce rtx 3070,434.0,228.0,220.0,8.0,13663
2024,geforce rtx 3080,767.0,335.0,320.0,10.0,17656
2024,geforce rtx 3080,763.0,367.0,320.0,10.0,17656
2024,geforce rtx 3080,822.0,341.0,320.0,10.0,17656
2024,geforce rtx 3080 ti,1443.0,567.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1392.0,535.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1474.0,532.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1323.0,522.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1197.0,494.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1196.0,473.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1148.0,466.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1137.0,463.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1090.0,477.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1131.0,462.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1023.0,448.0,350.0,12.0,19592
2024,geforce rtx 3080 ti,1093.0,423.0,350.0,12.0,19592
2024,geforce rtx 3090,1812.0,776.0,350.0,24.0,19901
2024,geforce rtx 3090,1982.0,760.0,350.0,24.0,19901
2024,geforce rtx 3090,2100.0,752.0,350.0,24.0,19901
2024,geforce rtx 3090,1829.0,765.0,350.0,24.0,19901
2024,geforce rtx 3080,708.0,356.0,320.0,10.0,17656
2024,geforce rtx 3080,865.0,357.0,320.0,10.0,17656
2024,geforce rtx 3080,1003.0,357.0,320.0,10.0,17656
2024,geforce rtx 3080,718.0,363.0,320.0,10.0,17656
2024,geforce rtx 3070,505.0,249.0,220.0,8.0,13663
2024,geforce rtx 3070,542.0,254.0,220.0,8.0,13663
2024,geforce rtx 3070,598.0,271.0,220.0,8.0,13663
2024,geforce rtx 3070 ti,497.0,327.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,493.0,340.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,461.0,335.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,532.0,329.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,505.0,310.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,512.0,304.0,290.0,8.0,14831
2024,geforce rtx 2080 ti,1296.0,241.0,250.0,11.0,14628
2024,geforce rtx 3070 ti,514.0,298.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,606.0,304.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,651.0,312.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,699.0,316.0,290.0,8.0,14831
2024,geforce rtx 3070 ti,890.0,331.0,290.0,8.0,14831
2024,geforce rtx 3080,679.0,423.0,320.0,10.0,17656
2024,geforce rtx 3080,663.0,404.0,320.0,10.0,17656
2024,geforce rtx 3080,575.0,404.0,320.0,10.0,17656
2024,geforce rtx 3080,509.0,387.0,320.0,10.0,17656
2024,geforce rtx 3080,525.0,355.0,320.0,10.0,17656
2024,geforce rtx 3070 ti,633.0,286.0,290.0,8.0,14831
2024,geforce rtx 2080 ti,1299.0,234.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,1299.0,252.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,1299.0,250.0,250.0,11.0,14628
2024,geforce gtx 1060,0.0,75.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,71.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,70.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,68.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,66.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,64.0,120.0,6.0,4215
2024,geforce gtx 1060,339.0,63.0,120.0,6.0,4215
2024,geforce gtx 1060,339.0,54.0,120.0,6.0,4215
2024,geforce gtx 1060,0.0,50.0,120.0,6.0,4215
2024,geforce gtx 1060,339.0,59.0,120.0,6.0,4215
2024,geforce gtx 1060,339.0,60.0,120.0,6.0,4215
2024,geforce gtx 1650,164.0,89.0,75.0,4.0,3552
2024,geforce gtx 1650,159.0,93.0,75.0,4.0,3552
2024,geforce gtx 1650,155.0,88.0,75.0,4.0,3552
2024,geforce gtx 1650,149.0,87.0,75.0,4.0,3552
2024,geforce gtx 1650,149.0,84.0,75.0,4.0,3552
2024,geforce gtx 1650,146.0,74.0,75.0,4.0,3552
2024,geforce gtx 1650,147.0,79.0,75.0,4.0,3552
2024,geforce gtx 1650,149.0,72.0,75.0,4.0,3552
2024,geforce gtx 1060,0.0,73.0,120.0,6.0,4215
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050,0.0,0.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1650,146.0,66.0,75.0,4.0,3552
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce gtx 1050 ti,0.0,0.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,0.0,0.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050 ti,190.0,65.0,75.0,4.0,2356
2024,geforce gtx 1050,254.0,52.0,75.0,2.0,1861
2024,geforce rtx 3090,1669.0,719.0,350.0,24.0,19901
2024,geforce gtx 1650,135.0,65.0,75.0,4.0,3552
2024,geforce gtx 1650,170.0,63.0,75.0,4.0,3552
2024,geforce rtx 2060,316.0,145.0,160.0,6.0,7601
2024,geforce rtx 2060,285.0,154.0,160.0,6.0,7601
2024,geforce rtx 2060,269.0,148.0,160.0,6.0,7601
2024,geforce rtx 2060,323.0,151.0,160.0,6.0,7601
2024,geforce rtx 2060,331.0,141.0,160.0,6.0,7601
2024,geforce rtx 2060,323.0,136.0,160.0,6.0,7601
2024,geforce rtx 2060,411.0,129.0,160.0,6.0,7601
2024,geforce rtx 2060,453.0,124.0,160.0,6.0,7601
2024,geforce rtx 2060,410.0,113.0,160.0,6.0,7601
2024,geforce rtx 2060,403.0,122.0,160.0,6.0,7601
2024,geforce rtx 2060,385.0,129.0,160.0,6.0,7601
2024,geforce rtx 2060,342.0,140.0,160.0,6.0,7601
2024,geforce rtx 2080 ti,0.0,308.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,0.0,296.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,0.0,291.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,0.0,283.0,250.0,11.0,14628
2024,geforce rtx 2080 ti,0.0,246.0,250.0,11.0,14628
